time,open,high,low,close
1653053400,10.6,10.635,10.57,10.57
1653053580,10.58,10.58,10.5,10.5
1653053760,10.5,10.53,10.46,10.52
1653053940,10.53,10.56,10.53,10.56
1653054120,10.56,10.62,10.56,10.6
1653054300,10.61,10.62,10.5,10.5
1653054480,10.505,10.53,10.505,10.51
1653054660,10.55,10.55,10.51,10.54
1653054840,10.55,10.56,10.51,10.51
1653055020,10.51,10.58,10.51,10.56
1653055200,10.55,10.555,10.49,10.49
1653055380,10.49,10.51,10.48,10.49
1653055560,10.48,10.495,10.4,10.4
1653055740,10.38,10.4,10.37,10.4
1653055920,10.38,10.4,10.36,10.38
1653056100,10.4,10.4,10.4,10.4
1653056280,10.38,10.38,10.36,10.36
1653056460,10.35,10.38,10.35,10.38
1653056640,10.39,10.4,10.39,10.39
1653056820,10.41,10.45,10.395,10.45
1653057000,10.42,10.42,10.42,10.42
1653057180,10.445,10.445,10.4,10.4
1653057360,10.4,10.41,10.39,10.39
1653057540,10.39,10.39,10.39,10.39
1653057720,10.42,10.42,10.41,10.42
1653057900,10.42,10.42,10.35,10.35
1653058080,10.35,10.36,10.35,10.35
1653058260,10.32,10.32,10.265,10.265
1653058440,10.285,10.285,10.26,10.26
1653058620,10.25,10.25,10.195,10.205
1653058800,10.22,10.225,10.21,10.21
1653058980,10.2,10.22,10.2,10.21
1653059160,10.2,10.2,10.16,10.18
1653059340,10.18,10.18,10.145,10.15
1653059520,10.12,10.15,10.11,10.15
1653059700,10.13,10.13,10.1,10.11
1653059880,10.085,10.09,10.07,10.09
1653060060,10.08,10.08,10.06,10.06
1653060240,10.065,10.13,10.065,10.13
1653060420,10.13,10.13,10.13,10.13
1653060600,10.17,10.17,10.15,10.15
1653060780,10.155,10.18,10.15,10.16
1653060960,10.17,10.17,10.1,10.1
1653061140,10.11,10.16,10.11,10.16
1653061320,10.1,10.1,10.1,10.1
1653061500,10.11,10.13,10.11,10.13
1653061680,10.12,10.14,10.12,10.14
1653061860,10.15,10.16,10.13,10.13
1653062040,10.1,10.1,10.1,10.1
1653062220,10.1,10.1,10.09,10.09
1653062400,10.09,10.09,10.06,10.065
1653062580,10.065,10.07,10.06,10.07
1653062760,10.075,10.075,9.99,9.99
1653062940,9.98,9.985,9.91,9.91
1653063120,9.92,9.98,9.92,9.97
1653063300,9.97,9.97,9.93,9.93
1653063480,9.92,9.93,9.91,9.93
1653063660,9.93,9.95,9.93,9.95
1653063840,9.965,9.965,9.91,9.92
1653064020,9.92,9.93,9.915,9.93
1653064200,9.92,9.95,9.91,9.94
1653064380,9.95,9.95,9.865,9.865
1653064560,9.88,9.885,9.85,9.85
1653064740,9.86,9.86,9.83,9.83
1653064920,9.82,9.82,9.8,9.81
1653065100,9.78,9.78,9.74,9.78
1653065280,9.815,9.83,9.795,9.83
1653065460,9.82,9.82,9.78,9.78
1653065640,9.76,9.84,9.76,9.84
1653065820,9.81,9.81,9.81,9.81
1653066000,9.77,9.77,9.77,9.77
1653066180,9.76,9.82,9.76,9.79
1653066360,9.8,9.8,9.725,9.725
1653066540,9.75,9.75,9.72,9.72
1653066720,9.72,9.75,9.705,9.73
1653066900,9.74,9.74,9.73,9.73
1653067080,9.71,9.71,9.71,9.71
1653067260,9.7,9.73,9.7,9.705
1653067440,9.7,9.7,9.69,9.69
1653067620,9.68,9.705,9.68,9.68
1653067800,9.67,9.75,9.67,9.74
1653067980,9.74,9.83,9.74,9.8
1653068160,9.8,9.85,9.78,9.85
1653068340,9.825,9.825,9.78,9.795
1653068520,9.8,9.83,9.8,9.83
1653068700,9.81,9.88,9.81,9.865
1653068880,9.855,9.86,9.84,9.84
1653069060,9.84,9.88,9.84,9.88
1653069240,9.89,9.91,9.89,9.89
1653069420,9.885,9.89,9.86,9.86
1653069600,9.865,9.88,9.85,9.85
1653069780,9.86,9.86,9.86,9.86
1653069960,9.8,9.8,9.78,9.79
1653070140,9.8,9.835,9.8,9.82
1653070320,9.83,9.83,9.8,9.8
1653070500,9.79,9.79,9.78,9.78
1653070680,9.75,9.77,9.75,9.75
1653070860,9.74,9.765,9.74,9.765
1653071040,9.79,9.79,9.745,9.75
1653071220,9.785,9.785,9.785,9.785
1653071400,9.79,9.79,9.73,9.73
1653071580,9.72,9.745,9.72,9.745
1653071760,9.76,9.77,9.75,9.77
1653071940,9.75,9.75,9.74,9.75
1653072120,9.78,9.82,9.78,9.82
1653072300,9.79,9.79,9.79,9.79
1653072480,9.8,9.83,9.8,9.83
1653072660,9.835,9.9,9.83,9.9
1653072840,9.91,9.925,9.84,9.84
1653073020,9.865,9.865,9.84,9.84
1653073200,9.83,9.84,9.82,9.82
1653073380,9.82,9.82,9.79,9.79
1653073560,9.8,9.81,9.77,9.77
1653073740,9.78,9.8,9.78,9.79
1653073920,9.79,9.79,9.79,9.79
1653074100,9.81,9.82,9.81,9.815
1653074280,9.84,9.86,9.84,9.86
1653074460,9.9,9.9,9.86,9.865
1653074640,9.85,9.875,9.84,9.875
1653074820,9.92,9.98,9.92,9.98
1653075000,9.99,9.99,9.95,9.97
1653075180,9.995,10.08,9.995,10.08
1653075360,10.09,10.15,10.07,10.07
1653075540,10.05,10.17,10.05,10.165
1653075720,10.17,10.21,10.16,10.16
1653075900,10.16,10.16,10.08,10.085
1653076080,10.13,10.23,10.13,10.22
1653076260,10.23,10.23,10.17,10.2
1653076440,10.2,10.26,10.17,10.25
1653076620,10.25,10.28,10.24,10.27
