time,open,high,low,close
1655386200,9.21,9.25,9.2,9.22
1655386380,9.21,9.21,9.13,9.18
1655386560,9.2,9.2,9.13,9.13
1655386740,9.12,9.15,9.12,9.13
1655386920,9.14,9.18,9.13,9.15
1655387100,9.14,9.235,9.14,9.23
1655387280,9.225,9.225,9.15,9.16
1655387460,9.15,9.15,9.13,9.13
1655387640,9.12,9.14,9.1,9.105
1655387820,9.15,9.155,9.125,9.13
1655388000,9.12,9.12,9.08,9.09
1655388180,9.09,9.1,9.04,9.04
1655388360,9.06,9.07,9.02,9.04
1655388540,9.04,9.05,9.02,9.02
1655388720,9.02,9.05,9.015,9.05
1655388900,9.02,9.07,9.02,9.07
1655389080,9.05,9.05,9.025,9.025
1655389260,9.02,9.07,9.02,9.07
1655389440,9.1,9.1,9.08,9.08
1655389620,9.07,9.08,9.05,9.08
1655389800,9.05,9.05,9.04,9.04
1655389980,9.06,9.06,9.03,9.03
1655390160,9.01,9.03,9.005,9.02
1655390340,9.005,9.005,8.97,8.98
1655390520,8.97,8.97,8.94,8.94
1655390700,8.93,8.94,8.92,8.925
1655390880,8.92,8.92,8.9,8.9
1655391060,8.9,8.91,8.9,8.9
1655391240,8.92,8.95,8.92,8.95
1655391420,8.95,8.95,8.93,8.93
1655391600,8.94,8.96,8.94,8.96
1655391780,8.95,8.95,8.94,8.94
1655391960,8.95,8.95,8.95,8.95
1655392140,8.96,9,8.96,9
1655392320,9.02,9.03,9.02,9.03
1655392500,9.03,9.05,9.02,9.02
1655392680,9.01,9.01,9,9
1655392860,9,9.03,8.995,9.03
1655393040,9.03,9.06,9.02,9.06
1655393220,9.05,9.05,9.04,9.04
1655393400,9.03,9.03,9,9.03
1655393580,9,9,9,9
1655393940,9,9,8.97,8.97
1655394120,8.94,8.94,8.94,8.94
1655394300,8.95,8.95,8.95,8.95
1655394480,8.93,8.95,8.93,8.95
1655394660,8.945,8.945,8.93,8.93
1655395020,8.99,8.99,8.99,8.99
1655395200,9,9,8.97,8.97
1655395380,8.97,8.97,8.95,8.95
1655395560,8.96,8.96,8.93,8.93
1655395740,8.92,8.94,8.92,8.94
1655395920,8.93,8.93,8.925,8.925
1655396100,8.93,8.93,8.93,8.93
1655396280,8.93,8.95,8.93,8.95
1655396460,8.95,8.95,8.94,8.94
1655396640,8.97,8.97,8.965,8.965
1655396820,8.97,9.01,8.97,9.01
1655397000,9,9,9,9
1655397180,8.99,8.99,8.97,8.97
1655397360,8.94,8.95,8.94,8.95
1655397540,8.98,8.98,8.97,8.97
1655397720,8.96,9.01,8.96,9.01
1655397900,9,9,9,9
1655398260,9.025,9.03,9.01,9.01
1655398440,8.98,8.98,8.98,8.98
1655398620,8.98,8.985,8.97,8.98
1655398800,9.01,9.03,9.01,9.03
1655399160,9,9,9,9
1655399520,9.025,9.025,9.01,9.01
1655399880,8.99,8.99,8.99,8.99
1655400060,8.97,8.98,8.97,8.98
1655400420,8.99,9.05,8.99,9.05
1655400600,9.03,9.06,9,9
1655400780,9.03,9.03,9.025,9.025
1655400960,9,9,8.99,8.99
1655401140,9.01,9.01,8.99,8.99
1655401320,8.98,8.98,8.95,8.95
1655401500,8.95,8.96,8.93,8.93
1655401680,8.92,8.925,8.92,8.925
1655401860,8.93,8.93,8.925,8.925
1655402040,8.93,8.93,8.92,8.92
1655402220,8.91,8.91,8.87,8.87
1655402400,8.87,8.9,8.87,8.895
1655402580,8.89,8.89,8.89,8.89
1655402760,8.87,8.87,8.86,8.865
1655402940,8.87,8.87,8.86,8.86
1655403120,8.87,8.87,8.87,8.87
1655403480,8.88,8.88,8.88,8.88
1655403660,8.86,8.86,8.85,8.85
1655403840,8.86,8.86,8.86,8.86
1655404020,8.85,8.85,8.84,8.84
1655404200,8.835,8.86,8.835,8.86
1655404380,8.84,8.85,8.84,8.85
1655404560,8.84,8.84,8.84,8.84
1655404740,8.87,8.9,8.85,8.9
1655404920,8.88,8.88,8.875,8.875
1655405100,8.88,8.88,8.85,8.85
1655405280,8.84,8.84,8.8,8.815
1655405460,8.8,8.81,8.79,8.79
1655405640,8.8,8.8,8.79,8.8
1655405820,8.82,8.84,8.82,8.84
1655406000,8.86,8.91,8.86,8.91
1655406180,8.895,8.9,8.88,8.885
1655406360,8.89,8.9,8.885,8.9
1655406540,8.9,8.96,8.9,8.935
1655406720,8.93,8.93,8.89,8.905
1655406900,8.88,8.88,8.88,8.88
1655407080,8.895,8.93,8.895,8.93
1655407440,8.92,8.95,8.92,8.95
1655407620,8.96,8.97,8.95,8.95
1655407800,8.935,8.955,8.92,8.92
1655407980,8.9,8.9,8.87,8.87
1655408160,8.87,8.89,8.87,8.88
1655408340,8.89,8.94,8.89,8.92
1655408520,8.88,8.88,8.875,8.875
1655408700,8.87,8.89,8.84,8.85
1655408880,8.85,8.87,8.83,8.865
1655409060,8.87,8.88,8.85,8.88
1655409240,8.87,8.92,8.85,8.92
1655409420,8.905,8.95,8.905,8.95
