time,open,high,low,close
1660224600,12.88,12.9,12.86,12.9
1660224780,12.89,12.89,12.82,12.83
1660224960,12.825,12.85,12.825,12.85
1660225140,12.86,12.88,12.86,12.88
1660225320,12.9,12.91,12.87,12.87
1660225500,12.86,12.88,12.84,12.88
1660225680,12.89,12.9,12.88,12.88
1660225860,12.9,12.9,12.89,12.89
1660226040,12.88,12.89,12.87,12.89
1660226220,12.875,12.88,12.86,12.88
1660226400,12.91,12.94,12.91,12.92
1660226580,12.935,12.97,12.935,12.97
1660226760,12.98,12.98,12.96,12.96
1660226940,12.96,12.985,12.96,12.985
1660227120,12.99,13,12.99,13
1660227300,13,13.01,13,13.01
1660227480,13.01,13.04,13.01,13.02
1660227660,13.02,13.02,12.99,12.995
1660227840,12.98,12.98,12.96,12.96
1660228020,12.95,12.955,12.94,12.955
1660228200,12.96,12.97,12.96,12.97
1660228380,12.96,12.97,12.95,12.97
1660228560,12.98,12.98,12.965,12.965
1660228740,12.94,12.945,12.91,12.91
1660228920,12.9,12.9,12.89,12.895
1660229280,12.84,12.86,12.84,12.85
1660229460,12.865,12.87,12.865,12.87
1660229640,12.88,12.88,12.86,12.86
1660230000,12.86,12.86,12.86,12.86
1660230180,12.83,12.83,12.8,12.8
1660230360,12.79,12.79,12.735,12.735
1660230540,12.74,12.74,12.72,12.72
1660230720,12.755,12.755,12.755,12.755
1660230900,12.74,12.77,12.74,12.74
1660231080,12.68,12.68,12.67,12.68
1660231260,12.69,12.7,12.69,12.695
1660231440,12.71,12.71,12.705,12.71
1660231620,12.71,12.74,12.71,12.74
1660231800,12.74,12.765,12.74,12.765
1660231980,12.76,12.76,12.75,12.75
1660232160,12.76,12.76,12.75,12.75
1660232340,12.74,12.745,12.73,12.74
1660232520,12.76,12.76,12.74,12.745
1660232700,12.695,12.7,12.695,12.7
1660232880,12.72,12.72,12.67,12.67
1660233060,12.66,12.69,12.64,12.69
1660233240,12.69,12.69,12.69,12.69
1660233420,12.705,12.71,12.69,12.69
1660233600,12.7,12.7,12.7,12.7
1660233780,12.71,12.71,12.71,12.71
1660233960,12.67,12.675,12.67,12.675
1660234140,12.68,12.68,12.665,12.665
1660234320,12.665,12.665,12.66,12.66
1660234500,12.67,12.67,12.67,12.67
1660234680,12.68,12.68,12.68,12.68
1660234860,12.67,12.67,12.66,12.665
1660235040,12.68,12.68,12.68,12.68
1660235220,12.72,12.73,12.72,12.73
1660235400,12.745,12.75,12.745,12.75
1660235580,12.76,12.77,12.76,12.77
1660235760,12.77,12.77,12.77,12.77
1660235940,12.76,12.76,12.75,12.75
1660236120,12.75,12.75,12.75,12.75
1660236300,12.73,12.73,12.73,12.73
1660236480,12.72,12.75,12.72,12.75
1660236660,12.75,12.75,12.75,12.75
1660236840,12.75,12.75,12.75,12.75
1660237200,12.74,12.74,12.72,12.72
1660237560,12.71,12.71,12.7,12.7
1660237740,12.71,12.71,12.7,12.71
1660237920,12.72,12.735,12.72,12.735
1660238100,12.75,12.75,12.75,12.75
1660238460,12.78,12.78,12.78,12.78
1660238820,12.745,12.745,12.73,12.735
1660239000,12.73,12.73,12.73,12.73
1660239180,12.72,12.72,12.72,12.72
1660240080,12.71,12.71,12.71,12.71
1660240440,12.69,12.69,12.69,12.69
1660240800,12.68,12.68,12.66,12.66
1660240980,12.66,12.66,12.64,12.64
1660241520,12.62,12.62,12.605,12.605
1660241700,12.6,12.6,12.6,12.6
1660242240,12.64,12.64,12.63,12.635
1660242420,12.64,12.64,12.63,12.63
1660242600,12.62,12.62,12.6,12.6
1660242780,12.585,12.605,12.585,12.605
1660242960,12.6,12.6,12.6,12.6
1660243140,12.595,12.605,12.59,12.605
1660243320,12.595,12.595,12.57,12.57
1660243500,12.58,12.58,12.57,12.57
1660243680,12.58,12.59,12.565,12.565
1660243860,12.55,12.55,12.52,12.525
1660244040,12.54,12.54,12.53,12.53
1660244400,12.555,12.555,12.555,12.555
1660244580,12.56,12.565,12.545,12.545
1660244760,12.53,12.53,12.53,12.53
1660244940,12.55,12.55,12.545,12.545
1660245120,12.505,12.52,12.505,12.52
1660245300,12.54,12.545,12.535,12.545
1660245480,12.55,12.55,12.55,12.55
1660245660,12.56,12.57,12.56,12.57
1660245840,12.545,12.545,12.535,12.535
1660246020,12.55,12.55,12.55,12.55
1660246200,12.55,12.56,12.55,12.56
1660246380,12.585,12.585,12.57,12.57
1660246560,12.56,12.56,12.52,12.52
1660246740,12.54,12.54,12.54,12.54
1660246920,12.54,12.54,12.54,12.54
1660247100,12.525,12.525,12.52,12.52
1660247280,12.51,12.54,12.5,12.53
1660247460,12.53,12.56,12.53,12.56
1660247640,12.56,12.56,12.54,12.54
1660247820,12.53,12.53,12.53,12.53
