time,open,high,low,close
1663248600,10.17,10.17,10.145,10.15
1663248780,10.15,10.19,10.15,10.19
1663248960,10.18,10.18,10.14,10.14
1663249140,10.145,10.24,10.145,10.24
1663249320,10.23,10.24,10.225,10.24
1663249500,10.24,10.24,10.2,10.2
1663249680,10.28,10.28,10.28,10.28
1663249860,10.3,10.31,10.3,10.31
1663250040,10.3,10.3,10.28,10.28
1663250220,10.27,10.275,10.27,10.275
1663250400,10.3,10.33,10.3,10.33
1663250580,10.28,10.28,10.27,10.27
1663250760,10.26,10.29,10.26,10.275
1663250940,10.28,10.28,10.25,10.26
1663251120,10.27,10.29,10.27,10.29
1663251300,10.3,10.3,10.29,10.3
1663251480,10.31,10.31,10.27,10.27
1663251660,10.24,10.24,10.2,10.22
1663251840,10.2,10.2,10.2,10.2
1663252020,10.18,10.18,10.14,10.15
1663252200,10.13,10.15,10.11,10.11
1663252380,10.11,10.125,10.11,10.12
1663252560,10.15,10.15,10.15,10.15
1663252740,10.14,10.14,10.14,10.14
1663252920,10.14,10.14,10.13,10.135
1663253100,10.15,10.15,10.145,10.145
1663253280,10.11,10.11,10.05,10.05
1663253460,10.02,10.05,10.01,10.015
1663253640,10.01,10.01,9.98,9.98
1663253820,9.97,9.98,9.97,9.97
1663254000,9.96,9.97,9.95,9.97
1663254180,9.96,9.99,9.96,9.985
1663254360,9.98,9.99,9.98,9.99
1663254540,9.97,9.97,9.93,9.95
1663254720,9.92,9.95,9.92,9.95
1663254900,9.93,9.95,9.92,9.95
1663255080,9.97,9.98,9.97,9.98
1663255260,9.99,9.99,9.985,9.99
1663255440,10.04,10.04,10.03,10.03
1663255620,10.025,10.04,10.02,10.02
1663255800,10.03,10.05,10.03,10.05
1663255980,10.03,10.03,10.03,10.03
1663256160,10.02,10.05,10.02,10.045
1663256340,10.04,10.06,10.04,10.06
1663256520,10.05,10.05,10.04,10.04
1663256700,10.04,10.04,10.04,10.04
1663256880,10.02,10.02,10,10
1663257060,9.98,9.98,9.98,9.98
1663257240,9.985,9.985,9.97,9.97
1663257420,9.96,9.975,9.945,9.975
1663257600,10,10.01,10,10.01
1663257960,9.965,9.97,9.965,9.97
1663258140,9.97,9.97,9.97,9.97
1663258320,9.95,9.98,9.95,9.975
1663258500,9.97,9.97,9.95,9.95
1663258680,9.97,9.97,9.96,9.96
1663258860,9.96,9.96,9.95,9.955
1663259040,9.97,9.98,9.97,9.98
1663259220,10,10,9.96,9.96
1663259400,10,10,10,10
1663259580,10,10.02,10,10.015
1663259760,10.02,10.02,10,10
1663259940,10.02,10.02,10.02,10.02
1663260120,10.03,10.03,10.03,10.03
1663260300,10.02,10.02,10.02,10.02
1663260480,10.03,10.05,10.03,10.045
1663260660,10.05,10.05,10.05,10.05
1663260840,10.04,10.04,10.04,10.04
1663261200,10.1,10.15,10.1,10.15
1663261380,10.17,10.17,10.17,10.17
1663261560,10.16,10.18,10.16,10.165
1663261740,10.16,10.16,10.15,10.15
1663261920,10.15,10.15,10.15,10.15
1663262280,10.18,10.18,10.16,10.17
1663262460,10.17,10.18,10.165,10.165
1663262640,10.18,10.19,10.18,10.19
1663262820,10.19,10.19,10.185,10.19
1663263000,10.17,10.17,10.14,10.15
1663263180,10.155,10.155,10.155,10.155
1663263360,10.14,10.14,10.125,10.125
1663263540,10.14,10.14,10.135,10.14
1663263720,10.13,10.13,10.12,10.12
1663263900,10.11,10.11,10.1,10.11
1663264080,10.095,10.095,10.07,10.07
1663264260,10.085,10.09,10.07,10.09
1663264620,10.095,10.105,10.095,10.1
1663264800,10.09,10.09,10.025,10.045
1663264980,10.04,10.04,10.035,10.04
1663265160,10.02,10.02,10,10
1663265340,10,10.01,10,10.01
1663265520,10.025,10.04,10.025,10.035
1663265700,10.01,10.01,10.01,10.01
1663265880,10.035,10.045,10.02,10.02
1663266240,10.02,10.02,10.02,10.02
1663266420,10.02,10.035,10.02,10.03
1663266600,10.05,10.05,10.05,10.05
1663266780,10.04,10.04,10.04,10.04
1663267140,10.05,10.05,10.045,10.045
1663267500,10.01,10.01,10.01,10.01
1663267680,10,10,9.98,9.99
1663267860,9.98,9.98,9.97,9.97
1663268400,10,10,9.96,9.965
1663268580,9.975,9.99,9.975,9.985
1663268760,9.97,9.97,9.955,9.955
1663268940,9.95,9.95,9.93,9.93
1663269120,9.92,9.92,9.9,9.9
1663269300,9.91,9.91,9.89,9.9
1663269480,9.88,9.89,9.875,9.89
1663269660,9.89,9.89,9.87,9.88
1663269840,9.895,9.895,9.875,9.875
1663270020,9.87,9.87,9.84,9.84
1663270200,9.86,9.88,9.855,9.88
1663270380,9.87,9.88,9.87,9.88
1663270560,9.89,9.89,9.885,9.89
1663270740,9.9,9.905,9.88,9.9
1663270920,9.9,9.92,9.9,9.91
1663271100,9.91,9.93,9.91,9.92
1663271280,9.93,9.98,9.93,9.98
1663271460,9.96,9.96,9.91,9.93
1663271640,9.95,9.98,9.94,9.98
1663271820,9.96,9.97,9.95,9.96
