time,open,high,low,close
1656595800,9.53,9.59,9.47,9.49
1656595980,9.47,9.54,9.47,9.51
1656596160,9.48,9.48,9.4,9.42
1656596340,9.4,9.4,9.36,9.38
1656596520,9.38,9.38,9.35,9.35
1656596700,9.35,9.37,9.34,9.37
1656596880,9.39,9.39,9.36,9.36
1656597060,9.36,9.36,9.31,9.31
1656597240,9.3,9.31,9.28,9.29
1656597420,9.29,9.3,9.29,9.29
1656597600,9.27,9.27,9.24,9.24
1656597780,9.23,9.23,9.22,9.23
1656597960,9.23,9.23,9.21,9.22
1656598140,9.22,9.24,9.22,9.23
1656598320,9.24,9.3,9.24,9.3
1656598500,9.28,9.28,9.28,9.28
1656598680,9.26,9.26,9.25,9.25
1656598860,9.245,9.26,9.245,9.25
1656599040,9.27,9.27,9.27,9.27
1656599220,9.25,9.26,9.25,9.26
1656599400,9.3,9.33,9.3,9.33
1656599580,9.35,9.37,9.35,9.37
1656599760,9.36,9.37,9.35,9.35
1656599940,9.34,9.34,9.33,9.33
1656600120,9.32,9.32,9.32,9.32
1656600300,9.3,9.31,9.3,9.31
1656600480,9.32,9.34,9.32,9.33
1656600660,9.365,9.41,9.365,9.4
1656600840,9.39,9.39,9.39,9.39
1656601020,9.4,9.43,9.4,9.43
1656601200,9.42,9.42,9.42,9.42
1656601380,9.41,9.41,9.41,9.41
1656601560,9.41,9.45,9.4,9.45
1656601740,9.46,9.48,9.44,9.44
1656602100,9.47,9.48,9.47,9.48
1656602280,9.47,9.5,9.47,9.5
1656602460,9.5,9.55,9.5,9.55
1656602640,9.55,9.58,9.55,9.58
1656602820,9.6,9.61,9.6,9.6
1656603000,9.58,9.58,9.56,9.565
1656603180,9.55,9.55,9.53,9.53
1656603360,9.51,9.54,9.51,9.54
1656603900,9.55,9.61,9.55,9.61
1656604080,9.61,9.61,9.58,9.58
1656604260,9.58,9.6,9.58,9.6
1656604440,9.6,9.6,9.58,9.6
1656604620,9.6,9.62,9.6,9.62
1656604800,9.63,9.64,9.63,9.64
1656604980,9.6,9.6,9.56,9.56
1656605160,9.54,9.54,9.53,9.54
1656605520,9.54,9.54,9.54,9.54
1656605880,9.565,9.585,9.565,9.585
1656606060,9.61,9.62,9.61,9.61
1656606240,9.63,9.705,9.63,9.705
1656606420,9.72,9.72,9.695,9.7
1656606600,9.75,9.755,9.75,9.755
1656606780,9.73,9.73,9.7,9.7
1656606960,9.7,9.7,9.67,9.67
1656607500,9.71,9.71,9.71,9.71
1656607680,9.69,9.69,9.67,9.67
1656607860,9.67,9.67,9.67,9.67
1656608220,9.66,9.665,9.66,9.665
1656608400,9.69,9.71,9.69,9.71
1656608580,9.68,9.7,9.67,9.67
1656608760,9.66,9.66,9.65,9.65
1656608940,9.63,9.63,9.63,9.63
1656609120,9.6,9.6,9.56,9.565
1656609300,9.58,9.59,9.57,9.58
1656609660,9.6,9.62,9.595,9.62
1656609840,9.63,9.63,9.63,9.63
1656610020,9.64,9.64,9.64,9.64
1656610200,9.66,9.66,9.66,9.66
1656610380,9.645,9.66,9.645,9.66
1656610560,9.66,9.66,9.66,9.66
1656610740,9.68,9.69,9.68,9.69
1656610920,9.66,9.66,9.62,9.62
1656611280,9.69,9.69,9.69,9.69
1656611460,9.7,9.72,9.7,9.72
1656611640,9.73,9.73,9.69,9.69
1656612180,9.71,9.71,9.705,9.705
1656612540,9.66,9.66,9.66,9.66
1656612720,9.65,9.65,9.65,9.65
1656613260,9.66,9.66,9.66,9.66
1656613440,9.6,9.6,9.58,9.6
1656613620,9.63,9.63,9.63,9.63
1656613980,9.62,9.62,9.62,9.62
1656614160,9.62,9.62,9.62,9.62
1656614520,9.6,9.61,9.55,9.55
1656614700,9.54,9.56,9.54,9.56
1656614880,9.57,9.57,9.56,9.56
1656615060,9.56,9.56,9.52,9.52
1656615240,9.52,9.52,9.52,9.52
1656615420,9.53,9.54,9.53,9.54
1656615600,9.54,9.54,9.52,9.54
1656615780,9.515,9.52,9.49,9.49
1656615960,9.49,9.49,9.44,9.45
1656616140,9.44,9.45,9.435,9.44
1656616320,9.445,9.445,9.445,9.445
1656616500,9.41,9.415,9.41,9.415
1656616680,9.42,9.42,9.42,9.42
1656616860,9.435,9.45,9.435,9.445
1656617040,9.45,9.46,9.45,9.45
1656617220,9.49,9.54,9.48,9.54
1656617400,9.54,9.58,9.525,9.58
1656617580,9.58,9.59,9.58,9.58
1656617760,9.57,9.62,9.57,9.62
1656617940,9.57,9.58,9.56,9.56
1656618120,9.52,9.52,9.51,9.51
1656618300,9.51,9.51,9.51,9.51
1656618480,9.54,9.54,9.51,9.54
1656618660,9.52,9.52,9.45,9.45
1656618840,9.43,9.47,9.42,9.47
1656619020,9.47,9.52,9.45,9.52
