time,open,high,low,close
1651843800,12.06,12.1,12,12
1651843980,11.99,11.99,11.83,11.83
1651844160,11.82,11.83,11.72,11.77
1651844340,11.75,11.795,11.72,11.79
1651844520,11.81,11.835,11.745,11.755
1651844700,11.75,11.79,11.65,11.65
1651844880,11.64,11.71,11.64,11.68
1651845060,11.7,11.705,11.62,11.63
1651845240,11.62,11.67,11.61,11.61
1651845420,11.6,11.66,11.6,11.66
1651845600,11.64,11.75,11.64,11.69
1651845780,11.675,11.8,11.67,11.8
1651845960,11.83,11.92,11.8,11.8
1651846140,11.79,11.8,11.73,11.8
1651846320,11.825,11.92,11.82,11.87
1651846500,11.89,12.04,11.89,12.03
1651846680,12.08,12.2,12.055,12.07
1651846860,12.05,12.12,12,12.05
1651847040,12.08,12.12,12.02,12.09
1651847220,12.1,12.1,11.98,11.98
1651847400,12,12.01,11.98,12
1651847580,11.99,12,11.9,11.91
1651847760,11.93,11.93,11.83,11.86
1651847940,11.855,11.98,11.85,11.95
1651848120,11.93,11.97,11.92,11.94
1651848300,11.93,12.17,11.92,12.13
1651848480,12.12,12.18,12.1,12.11
1651848660,12.09,12.15,12.08,12.15
1651848840,12.14,12.21,12.12,12.16
1651849020,12.15,12.25,12.15,12.22
1651849200,12.2,12.23,12.15,12.15
1651849380,12.15,12.15,12.09,12.11
1651849560,12.1,12.13,12.1,12.13
1651849740,12.14,12.14,12.05,12.06
1651849920,12.09,12.2,12.08,12.2
1651850100,12.21,12.25,12.21,12.25
1651850280,12.26,12.26,12.23,12.23
1651850460,12.28,12.36,12.28,12.36
1651850640,12.36,12.36,12.27,12.27
1651850820,12.27,12.3,12.27,12.285
1651851000,12.3,12.3,12.2,12.2
1651851180,12.19,12.19,12.09,12.09
1651851360,12.08,12.09,12.04,12.05
1651851540,12.045,12.045,12,12.03
1651851720,12.04,12.06,12.04,12.06
1651851900,12.01,12.03,12,12.01
1651852080,12.03,12.04,12.03,12.03
1651852260,12.06,12.12,12,12
1651852440,11.99,12,11.99,12
1651852620,11.98,11.98,11.95,11.955
1651852800,12,12.06,12,12.06
1651852980,12.08,12.11,12.075,12.1
1651853160,12.11,12.2,12.11,12.16
1651853340,12.17,12.17,12.03,12.03
1651853520,12.01,12.01,11.97,11.98
1651853700,11.97,11.995,11.97,11.98
1651853880,12,12.06,11.95,12.03
1651854060,12.04,12.1,12.04,12.09
1651854240,12.08,12.13,12.08,12.11
1651854420,12.11,12.14,12.08,12.14
1651854600,12.12,12.12,12.07,12.1
1651854780,12.08,12.14,12.08,12.13
1651854960,12.15,12.15,12.05,12.055
1651855140,12.1,12.13,12.09,12.09
1651855320,12.11,12.13,12.11,12.13
1651855500,12.15,12.15,12.13,12.14
1651855680,12.15,12.17,12.07,12.07
1651855860,12.08,12.2,12.08,12.18
1651856040,12.17,12.25,12.16,12.225
1651856220,12.24,12.24,12.23,12.24
1651856400,12.22,12.225,12.2,12.2
1651856580,12.2,12.27,12.2,12.2
1651856760,12.17,12.17,12.16,12.16
1651856940,12.18,12.18,12.18,12.18
1651857120,12.15,12.16,12.15,12.15
1651857300,12.15,12.16,12.11,12.11
1651857480,12.09,12.09,12.055,12.055
1651857660,12.04,12.11,12.035,12.11
1651857840,12.1,12.1,12.05,12.05
1651858020,12.04,12.11,12.04,12.08
1651858200,12.08,12.08,12.08,12.08
1651858380,12.1,12.11,12.075,12.11
1651858560,12,12.015,12,12.015
1651858740,12.06,12.06,12.01,12.01
1651858920,12,12.06,11.99,12.03
1651859100,12.06,12.06,11.995,11.995
1651859280,12.02,12.02,11.97,11.97
1651859460,11.985,11.985,11.9,11.91
1651859640,11.91,11.92,11.9,11.91
1651859820,11.91,11.915,11.905,11.91
1651860000,11.9,11.945,11.88,11.945
1651860180,11.95,11.95,11.85,11.855
1651860360,11.835,11.835,11.825,11.835
1651860540,11.83,11.89,11.81,11.89
1651860720,11.89,11.89,11.86,11.86
1651860900,11.9,11.92,11.865,11.9
1651861080,11.9,11.9,11.85,11.85
1651861440,11.83,11.83,11.81,11.81
1651861620,11.84,11.86,11.84,11.86
1651861800,11.85,11.85,11.78,11.78
1651861980,11.79,11.82,11.785,11.82
1651862160,11.83,11.83,11.81,11.81
1651862340,11.83,11.83,11.83,11.83
1651862520,11.82,11.82,11.78,11.78
1651862700,11.795,11.795,11.77,11.77
1651862880,11.77,11.93,11.77,11.9
1651863060,11.91,11.91,11.87,11.87
1651863240,11.9,11.91,11.9,11.9
1651863420,11.91,11.91,11.82,11.82
1651863600,11.78,11.82,11.78,11.78
1651863780,11.775,11.8,11.775,11.8
1651863960,11.76,11.76,11.735,11.735
1651864140,11.75,11.775,11.745,11.75
1651864320,11.78,11.785,11.78,11.78
1651864500,11.75,11.75,11.75,11.75
1651864680,11.73,11.76,11.72,11.72
1651864860,11.7,11.7,11.7,11.7
1651865040,11.7,11.71,11.69,11.69
1651865220,11.75,11.79,11.75,11.78
1651865400,11.82,11.84,11.8,11.8
1651865580,11.8,11.86,11.8,11.86
1651865760,11.845,11.95,11.845,11.95
1651865940,11.95,11.96,11.91,11.925
1651866120,11.93,11.94,11.89,11.91
1651866300,11.88,11.97,11.88,11.96
1651866480,11.96,12.01,11.96,12.01
1651866660,12.01,12.01,11.94,11.96
1651866840,11.95,11.97,11.895,11.92
1651867020,11.92,11.95,11.915,11.93
