time,open,high,low,close
1657632600,10.19,10.23,10.18,10.23
1657632780,10.22,10.26,10.18,10.26
1657632960,10.25,10.3,10.25,10.3
1657633140,10.31,10.32,10.29,10.29
1657633320,10.28,10.28,10.23,10.23
1657633500,10.225,10.225,10.18,10.18
1657633680,10.18,10.2,10.135,10.135
1657633860,10.12,10.14,10.12,10.14
1657634040,10.13,10.13,10.11,10.11
1657634220,10.1,10.12,10.035,10.035
1657634400,10.02,10.02,9.98,9.99
1657634580,9.97,10,9.95,10
1657634760,9.99,10,9.98,9.98
1657634940,9.97,9.985,9.96,9.985
1657635120,10.02,10.02,10,10
1657635300,10,10,9.97,9.97
1657635480,10.015,10.05,10.015,10.05
1657635660,10,10,9.98,9.98
1657635840,10,10,10,10
1657636020,9.99,9.99,9.99,9.99
1657636200,10.03,10.04,10.03,10.04
1657636380,10.1,10.11,10.1,10.1
1657636560,10.045,10.05,10.04,10.04
1657636740,10.04,10.04,10.04,10.04
1657636920,10.03,10.03,10.02,10.02
1657637100,10.03,10.045,10.03,10.045
1657638540,10.135,10.14,10.135,10.14
1657638900,10.11,10.11,10.11,10.11
1657639260,10.11,10.12,10.11,10.12
1657639440,10.11,10.11,10.11,10.11
1657639620,10.13,10.13,10.13,10.13
1657639980,10.14,10.14,10.14,10.14
1657640160,10.135,10.135,10.135,10.135
1657640700,10.075,10.075,10.075,10.075
1657640880,10.09,10.09,10.09,10.09
1657641060,10.09,10.09,10.08,10.08
1657641240,10.08,10.08,10.08,10.08
1657641420,10.09,10.09,10.08,10.08
1657641600,10.1,10.11,10.1,10.11
1657641960,10.12,10.12,10.12,10.12
1657642680,10.12,10.13,10.12,10.13
1657643040,10.12,10.12,10.12,10.12
1657643400,10.11,10.11,10.105,10.105
1657643580,10.13,10.15,10.13,10.145
1657643760,10.15,10.15,10.15,10.15
1657644120,10.14,10.14,10.13,10.13
1657644480,10.14,10.14,10.14,10.14
1657644660,10.12,10.12,10.105,10.105
1657644840,10.12,10.12,10.12,10.12
1657645200,10.15,10.16,10.15,10.16
1657645380,10.12,10.12,10.11,10.11
1657645560,10.09,10.09,10.075,10.08
1657645740,10.08,10.08,10.08,10.08
1657646280,10.09,10.09,10.07,10.07
1657646460,10.07,10.07,10.07,10.07
1657646820,10.06,10.06,10.06,10.06
1657647720,10.1,10.1,10.1,10.1
1657647900,10.08,10.08,10.08,10.08
1657648260,10.105,10.105,10.105,10.105
1657648800,10.1,10.1,10.1,10.1
1657649160,10.06,10.06,10.06,10.06
1657650060,10.065,10.065,10.065,10.065
1657650240,10.065,10.065,10.06,10.06
1657650420,10.06,10.065,10.06,10.065
1657650600,10.05,10.05,10.035,10.035
1657650780,10.03,10.03,10.03,10.03
1657651320,10.03,10.03,10.03,10.03
1657651680,10.04,10.04,10.04,10.04
1657651860,10.035,10.035,10.02,10.02
1657652040,10,10,10,10
1657652220,9.995,10,9.99,9.99
1657652400,9.98,9.98,9.95,9.95
1657652580,9.945,9.945,9.91,9.91
1657652760,9.91,9.91,9.89,9.89
1657652940,9.89,9.89,9.87,9.87
1657653120,9.87,9.905,9.86,9.905
1657653300,9.9,9.9,9.88,9.895
1657653480,9.91,9.91,9.9,9.9
1657653660,9.87,9.87,9.86,9.86
1657653840,9.85,9.86,9.845,9.86
1657654020,9.865,9.87,9.865,9.87
1657654200,9.85,9.85,9.84,9.84
1657654380,9.83,9.83,9.8,9.8
1657654560,9.8,9.8,9.79,9.79
1657654740,9.8,9.81,9.8,9.81
1657654920,9.82,9.82,9.81,9.81
1657655100,9.84,9.85,9.84,9.84
1657655280,9.84,9.89,9.84,9.88
1657655460,9.89,9.915,9.88,9.915
1657655640,9.91,9.92,9.9,9.91
1657655820,9.895,9.9,9.89,9.89
