time,open,high,low,close
1660656600,13.18,13.2,13.14,13.19
1660656780,13.18,13.19,13.17,13.18
1660656960,13.16,13.16,13.12,13.12
1660657140,13.15,13.15,13.12,13.12
1660657320,13.14,13.15,13.11,13.11
1660657500,13.13,13.14,13.13,13.13
1660657680,13.12,13.12,13.08,13.08
1660657860,13.06,13.09,13.06,13.09
1660658040,13.1,13.1,13.1,13.1
1660658220,13.11,13.14,13.11,13.135
1660658400,13.11,13.11,13.04,13.04
1660658580,13.06,13.06,13.06,13.06
1660658760,13.08,13.08,13.08,13.08
1660658940,13.06,13.105,13.06,13.105
1660659120,13.08,13.08,13.08,13.08
1660659300,13.06,13.06,13.04,13.05
1660659480,13.04,13.07,13.04,13.07
1660659660,13.06,13.06,13.06,13.06
1660659840,13.06,13.06,13.02,13.02
1660660020,13.02,13.02,13.02,13.02
1660660200,13.01,13.01,12.98,12.98
1660660380,12.98,12.98,12.95,12.95
1660660740,12.98,12.98,12.95,12.95
1660660920,12.98,13.01,12.98,13.01
1660661100,13.01,13.03,13.01,13.03
1660661280,13.03,13.03,13.02,13.025
1660661460,13.04,13.05,13.04,13.04
1660661640,13.04,13.04,13.04,13.04
1660661820,13.02,13.02,13.01,13.015
1660662000,13.02,13.04,13.02,13.04
1660662180,13.015,13.015,13.015,13.015
1660662360,13.025,13.045,13.025,13.045
1660662720,13.08,13.09,13.08,13.08
1660662900,13.1,13.11,13.1,13.11
1660663080,13.11,13.12,13.11,13.12
1660663440,13.11,13.11,13.11,13.11
1660663620,13.12,13.13,13.12,13.13
1660663800,13.15,13.18,13.15,13.17
1660663980,13.17,13.17,13.16,13.16
1660664160,13.175,13.175,13.175,13.175
1660664340,13.17,13.175,13.17,13.175
1660664520,13.17,13.17,13.17,13.17
1660664700,13.2,13.2,13.2,13.2
1660664880,13.19,13.19,13.19,13.19
1660665060,13.19,13.21,13.19,13.21
1660665240,13.21,13.24,13.21,13.24
1660665420,13.24,13.24,13.24,13.24
1660665600,13.24,13.24,13.23,13.24
1660665960,13.22,13.22,13.22,13.22
1660666320,13.22,13.22,13.22,13.22
1660666500,13.23,13.24,13.23,13.24
1660666860,13.21,13.21,13.21,13.21
1660667040,13.22,13.22,13.22,13.22
1660667220,13.2,13.2,13.2,13.2
1660667400,13.18,13.2,13.18,13.2
1660667760,13.2,13.2,13.19,13.19
1660667940,13.19,13.19,13.185,13.185
1660668120,13.17,13.17,13.16,13.16
1660668480,13.15,13.15,13.15,13.15
1660668660,13.16,13.17,13.16,13.17
1660668840,13.18,13.18,13.18,13.18
1660669020,13.18,13.18,13.18,13.18
1660669380,13.19,13.2,13.19,13.2
1660669560,13.21,13.21,13.21,13.21
1660669740,13.21,13.21,13.21,13.21
1660669920,13.21,13.215,13.21,13.215
1660670100,13.23,13.23,13.225,13.225
1660670280,13.23,13.24,13.22,13.22
1660670640,13.23,13.23,13.215,13.215
1660671000,13.21,13.22,13.21,13.22
1660671180,13.24,13.24,13.24,13.24
1660671360,13.25,13.27,13.25,13.27
1660671540,13.26,13.26,13.26,13.26
1660671900,13.28,13.28,13.28,13.28
1660672260,13.28,13.28,13.275,13.28
1660672800,13.27,13.3,13.27,13.3
1660672980,13.3,13.3,13.3,13.3
1660673160,13.31,13.32,13.31,13.32
1660673340,13.32,13.35,13.32,13.35
1660673520,13.35,13.35,13.34,13.345
1660673700,13.35,13.35,13.35,13.35
1660673880,13.35,13.35,13.34,13.34
1660674060,13.33,13.33,13.33,13.33
1660674240,13.31,13.32,13.31,13.32
1660674600,13.29,13.29,13.29,13.29
1660674780,13.23,13.23,13.23,13.23
1660674960,13.22,13.22,13.16,13.16
1660675140,13.16,13.16,13.12,13.12
1660675320,13.12,13.13,13.12,13.13
1660675500,13.1,13.1,13.07,13.07
1660675680,13.07,13.08,13.07,13.08
1660675860,13.09,13.1,13.09,13.09
1660676040,13.09,13.09,13.09,13.09
1660676220,13.12,13.13,13.12,13.13
1660676400,13.12,13.12,13.11,13.12
1660676760,13.12,13.12,13.12,13.12
1660676940,13.1,13.1,13.1,13.1
1660677120,13.1,13.1,13.1,13.1
1660677300,13.1,13.1,13.1,13.1
1660677480,13.12,13.13,13.12,13.13
1660677660,13.12,13.12,13.12,13.12
1660677840,13.15,13.16,13.15,13.16
1660678020,13.17,13.18,13.17,13.18
1660678200,13.2,13.2,13.2,13.2
1660678380,13.2,13.2,13.2,13.2
1660678560,13.19,13.19,13.18,13.18
1660678740,13.2,13.2,13.2,13.2
1660679100,13.19,13.24,13.19,13.24
1660679280,13.24,13.25,13.24,13.24
1660679460,13.21,13.22,13.2,13.22
1660679640,13.19,13.19,13.19,13.19
1660679820,13.2,13.2,13.2,13.2
