time,open,high,low,close
1661779800,11.02,11.08,10.98,11.08
1661779980,11.08,11.13,11.07,11.13
1661780160,11.15,11.16,11.13,11.13
1661780340,11.11,11.18,11.11,11.17
1661780520,11.19,11.19,11.14,11.15
1661780700,11.14,11.14,11.12,11.12
1661780880,11.11,11.135,11.08,11.13
1661781060,11.14,11.14,11.1,11.11
1661781240,11.12,11.14,11.12,11.14
1661781420,11.13,11.13,11.1,11.1
1661781600,11.07,11.07,11.05,11.05
1661781780,11.06,11.06,11.06,11.06
1661781960,11.045,11.1,11.04,11.08
1661782140,11.08,11.12,11.08,11.12
1661782320,11.1,11.1,11.07,11.08
1661782500,11.16,11.19,11.155,11.19
1661782680,11.17,11.18,11.17,11.175
1661783040,11.19,11.19,11.16,11.16
1661783220,11.15,11.15,11.14,11.145
1661783400,11.14,11.15,11.14,11.15
1661783580,11.09,11.09,11.04,11.04
1661783760,11.03,11.03,11.02,11.025
1661783940,11.01,11.01,11.01,11.01
1661784120,11.02,11.02,11,11
1661784300,11.02,11.02,11.02,11.02
1661784660,11,11,10.95,10.95
1661784840,10.95,10.95,10.94,10.94
1661785020,10.96,10.96,10.94,10.94
1661785200,10.98,10.98,10.98,10.98
1661785380,11,11,11,11
1661785560,10.955,10.955,10.94,10.94
1661785920,10.93,10.93,10.93,10.93
1661786280,10.95,10.95,10.94,10.94
1661786460,10.96,10.99,10.96,10.99
1661786640,10.985,10.985,10.97,10.97
1661787000,10.95,10.95,10.93,10.93
1661787180,10.96,11,10.96,10.985
1661787360,11.04,11.045,11.04,11.045
1661787540,11,11,10.985,10.985
1661787720,10.97,10.97,10.94,10.94
1661787900,10.945,10.945,10.945,10.945
1661788080,10.97,10.99,10.97,10.99
1661788260,11,11.01,11,11.01
1661788440,11,11.02,11,11.02
1661788620,11.02,11.025,11.02,11.025
1661788800,11.03,11.07,11.03,11.07
1661788980,11.08,11.095,11.065,11.09
1661789160,11.09,11.09,11.09,11.09
1661789340,11.08,11.08,11.08,11.08
1661789520,11.1,11.1,11.1,11.1
1661789700,11.1,11.1,11.1,11.1
1661789880,11.095,11.095,11.095,11.095
1661790060,11.09,11.09,11.08,11.08
1661790240,11.07,11.07,11.07,11.07
1661790420,11.06,11.06,11.05,11.06
1661790600,11.05,11.05,11.03,11.035
1661790780,11.02,11.02,11.02,11.02
1661791500,11.08,11.08,11.075,11.075
1661791680,11.1,11.12,11.1,11.12
1661791860,11.14,11.16,11.14,11.14
1661792040,11.15,11.15,11.14,11.14
1661792220,11.11,11.12,11.11,11.11
1661792400,11.13,11.13,11.13,11.13
1661792760,11.155,11.155,11.14,11.14
1661792940,11.15,11.15,11.11,11.11
1661793120,11.12,11.12,11.12,11.12
1661793300,11.12,11.12,11.09,11.095
1661793480,11.09,11.09,11.085,11.085
1661793660,11.08,11.08,11.08,11.08
1661794200,11.13,11.13,11.13,11.13
1661794380,11.13,11.13,11.13,11.13
1661794740,11.13,11.13,11.115,11.13
1661794920,11.135,11.175,11.135,11.17
1661795100,11.18,11.18,11.145,11.145
1661795280,11.14,11.145,11.14,11.145
1661795820,11.15,11.15,11.15,11.15
1661796000,11.14,11.14,11.13,11.13
1661796180,11.12,11.12,11.12,11.12
1661796540,11.11,11.11,11.11,11.11
1661796720,11.1,11.1,11.095,11.095
1661796900,11.08,11.08,11.08,11.08
1661797080,11.07,11.07,11.07,11.07
1661797440,11.08,11.08,11.08,11.08
1661797980,11.1,11.105,11.1,11.105
1661798160,11.12,11.12,11.12,11.12
1661798340,11.11,11.11,11.11,11.11
1661798700,11.11,11.115,11.11,11.115
1661798880,11.1,11.1,11.1,11.1
1661799060,11.1,11.1,11.1,11.1
1661799240,11.085,11.085,11.085,11.085
1661799420,11.05,11.08,11.05,11.08
1661799600,11.12,11.15,11.11,11.15
1661799780,11.14,11.145,11.14,11.14
1661799960,11.13,11.13,11.11,11.11
1661800320,11.16,11.16,11.16,11.16
1661800680,11.13,11.13,11.13,11.13
1661801220,11.11,11.11,11.11,11.11
1661801400,11.08,11.09,11.08,11.09
1661801580,11.09,11.11,11.09,11.11
1661801760,11.1,11.1,11.1,11.1
1661801940,11.11,11.11,11.095,11.095
1661802120,11.12,11.12,11.12,11.12
1661802300,11.11,11.11,11.09,11.09
1661802480,11.08,11.08,11.03,11.03
1661802660,11.03,11.06,11.03,11.05
1661802840,11.04,11.04,11.02,11.02
1661803020,11.03,11.03,10.99,10.99
